,시군구코드,평균 접근 시간(분),정류장 밀도,철도역 밀도,발생량,1인당 대중교통 이용량,평균 환승 횟수,평균 환승 대기시간,대중교통 환승 이용 비율,환승 발생량,평균 통행거리(km),접근 가능 시설 수(개)
109,32060,69.7537174412311,20.4,0.0,2918928,3761.871889155416,4.570500000000001,130580.0,1.3133000000000006,96171.0,7.0,1.7284760354690347
110,32070,76.49198921205321,17.7,0.1103143960286817,530447,10153.83640919436,24.27139999999999,160253.0,4.836900000000001,14526.0,17.0,1.1194968240575651
111,32310,106.98286072734554,78.3,0.0,784873,21229.200221037525,27.39340000000001,171073.0,1.9938,21197.0,18.0,0.4671097423880171
112,32320,93.6474729021534,99.8,0.4854368932038835,937462,20181.34722388249,11.215000000000002,90155.0,1.3809999999999996,10956.0,21.0,0.5029375404381182
113,32330,87.80378646058418,54.8,0.3883495145631068,339518,10253.294448483672,23.24550000000001,137841.0,3.2430000000000003,9680.0,23.0,0.4635352662113114
114,32340,99.01733812075288,28.7,0.3780718336483932,251687,9064.049941889163,10.5203,33290.0,2.2667000000000006,9878.0,21.0,0.682991558096251
115,32350,84.69656892829593,51.4,0.4444444444444444,772667,27556.39299595876,17.891999999999996,173683.0,2.7492,48763.0,18.0,0.4082726382470851
116,32360,85.15524368114953,27.1,0.0,566224,12160.1276074974,5.6058,88382.0,0.7888,14425.0,15.0,0.966212300718572
117,32370,90.89529627337652,40.7,0.0,224288,8862.432212008232,2.2631,7825.0,0.1394999999999999,2016.0,21.0,0.3427408945836854
118,32380,91.26013038080129,0.0,0.0,133842,4207.924846528893,0.4507,0.0,0.0,0.0,25.0,0.5576727642276422
119,32390,92.59693762610767,43.2,0.0,324262,16670.833989576928,15.8473,86203.0,1.5427999999999995,9214.0,19.0,0.7887951724610849
120,32400,81.62913635680384,55.0,0.0,736774,17829.633986695393,38.7869,157822.0,3.887799999999999,28651.0,19.0,1.113279528978251
121,32410,98.64896813580512,48.3,0.0,420083,9547.45116262296,0.0715,2041.0,0.0115,1.0,10.0,0.824364365815932
122,33020,55.42445436775809,0.1,0.1026694045174538,4056931,19198.461702795536,0.3697,0.0,0.0,1.0,21.0,0.6020059571875499
123,33030,58.48696871799041,43.8,0.1669449081803005,3637681,24665.004959758564,71.0234,208533.0,7.763900000000003,371924.0,8.0,1.3484094714418224
124,33040,50.758269201315,7.8,0.0137950062077527,48846162,53939.53776724387,106.10940000000004,288132.0,9.828099999999996,6664409.0,29.0,1.1661393005831486
125,33320,90.9303083513015,5.7,0.0,492197,9273.49304203466,8.9649,8475.0,0.0034999999999999,2.0,28.0,0.5786904441000068
126,33330,86.43842956876377,60.0,0.4225352112676057,1123335,12344.71434062656,9.2612,47661.0,0.1333999999999999,635.0,18.0,0.0811169357432302
127,33340,86.88440034330097,52.5,0.0,0,0.0,0.4205,16655.0,0.1146,0.0,0.0,0.3577346760277049
128,33350,73.38516091621611,4.3,0.0,1893513,8943.113663480426,7.6814,944.0,0.0013,5303.0,22.0,0.8305907134740456
129,33360,89.24343634284759,0.8,0.0,519167,11947.084057134109,0.0161,0.0,0.0,0.0,28.0,0.3473028042547313
130,33370,68.67839158545371,0.7,0.0456204379562043,27039,154.23406423091325,3.8733,3531.0,0.0427,208.0,21.0,0.9310004735226663
131,33380,90.94380942645004,48.8,0.1919385796545105,617443,17389.19737478559,5.391700000000001,32618.0,0.0433,105.0,24.0,0.5562956379707917
132,33390,31.20202983163624,34.6,0.0889679715302491,1543442,3368.1985807421543,2.1683,1488.0,0.0025,2783.0,14.0,0.9725850736334136
133,34010,37.34190316799248,14.7,0.0178571428571428,52778586,51184.75010624224,105.02530000000002,391277.0,10.917200000000005,5295160.0,12.0,2.2355948401721224
134,34020,77.7448123440505,18.0,0.1012145748987854,4425180,37452.6321233749,19.3461,47721.0,0.4013000000000001,14472.0,9.0,0.6721806906044986
135,34030,59.06436873889297,41.0,0.2043596730245231,3618882,22148.89396990244,44.63159999999999,288680.0,3.3197999999999985,140634.0,10.0,0.4637962144042628
136,34040,37.94687431323144,33.6,0.0972762645914396,18002246,28258.33476588486,107.87610000000004,656085.0,12.631900000000003,1018786.0,17.0,1.8033079584407383
137,34050,78.78597152865997,1.2,0.0,3887925,16396.29891569837,5.909999999999999,6735.0,0.0387999999999999,925.0,10.0,0.7946487915629981
138,34060,54.1495440383604,6.7,0.3167898627243928,3726199,18770.52963632176,17.3646,31874.0,0.2573,3006.0,19.0,1.442242906993695
139,34070,38.31125446238054,40.7,0.2074688796680497,1507424,1960.390909165532,14.130100000000004,109319.0,1.1991000000000005,41738.0,10.0,0.5750569126255691
140,34080,83.0946537313739,2.0,0.0,5062960,20977.591782747124,5.175600000000001,3887.0,0.0044,4615.0,6.0,0.671157775132226
141,34310,88.1609533042019,37.4,0.0,1088058,12537.439526035085,19.4111,79515.0,0.5353999999999999,713.0,18.0,0.5079065186246419
142,34330,80.50117456447916,1.6,0.0,1872786,19163.18472861672,0.2524,2255.0,0.001,21.0,4.0,0.6014904479578392
143,34340,81.11507409519547,6.8,0.3401360544217687,1057245,7880.905192237568,5.136800000000001,13954.0,0.0326,27.0,13.0,0.1601489019931097
144,34350,102.8496303073116,42.3,0.0,529013,8403.920718641552,4.127299999999998,24699.0,0.0784,6887.0,18.0,0.0476870647114408
145,34360,60.708379749119366,47.9,0.1632653061224489,2190881,10034.91073074812,24.243199999999995,239502.0,2.0576000000000003,78363.0,8.0,0.7484733033515589
146,34370,74.68054620415256,7.6,0.2546689303904924,2514995,17420.145577031242,5.5609,22541.0,0.4474999999999999,2767.0,9.0,0.7006314492793186
147,34380,101.71881592478476,29.6,0.0,1217446,10335.993164531288,0.0,0.0,0.0,0.0,12.0,0.6073975198070961
148,35010,28.73080980463568,5.9,0.0099108027750247,1618390,518.7342742676917,23.82260000000001,161493.0,6.915800000000001,587840.0,21.0,2.6741720236386035
149,35020,40.5425997753679,16.4,0.0391696043869956,271793,416.1052768050199,114.34379999999992,739757.0,15.058000000000003,496574.0,13.0,1.8359950673663528
150,35030,40.47727100645768,34.1,0.065040650406504,418433,784.9841261056425,168.7630000000002,554391.0,14.54720000000001,1457935.0,12.0,2.225283445865201
151,35040,61.58271521227047,19.3,0.1259445843828715,72495,485.0490590976266,0.0003,0.0,0.0,0.0,21.0,0.9521306760643252
152,35050,65.91426772828345,38.2,0.1081081081081081,86138,843.7442649354092,19.5677,253451.0,2.2311999999999994,44671.0,24.0,0.8912856675214142
153,35060,56.35399038926941,15.4,0.0803212851405622,36843,247.02862755513536,35.0086,56996.0,0.7239,1703.0,24.0,0.961603635395166
154,35310,70.6279421161194,46.3,0.0587889476778365,139731,1173.2164820654712,193.0094,393479.0,14.330399999999996,297043.0,37.0,1.352577592944066
155,35320,100.09773041670869,5.6,0.0,28382,915.4862651520024,0.0,0.0,0.0,0.0,0.0,0.427639059444217
156,35330,98.7715513714924,1.3,0.0,553,15.0328665450577,0.0001,0.0,0.0,0.0,52.0,0.5223111469368955
157,35340,89.79302909145488,6.7,0.0,401,10.189447648439886,2.9811,6457.0,0.0250999999999999,12.0,56.0,0.686634803417044
158,35350,86.8508595120653,40.9,0.6097560975609756,10588,243.5982416602212,5.132300000000001,8933.0,0.3294,39.0,44.0,0.8529769012228765
159,35360,93.38811672364008,246.3,0.0,13399,248.28000561051667,0.1236,1740.0,0.0001,0.0,61.0,0.6039304149900419
160,35370,92.44526092154318,0.6,0.0,1773,20.812793043003527,0.0,0.0,0.0,0.0,0.0,0.7799786577893962
161,35380,86.52163336482536,0.2,0.0,16500,166.04997254984127,0.8752,0.0,0.0,0.0,0.0,0.6039441495751698
162,36010,26.160163725400025,17.1,0.0723850886717336,10260649,2478.489385117941,15.006400000000005,108486.0,5.097500000000003,840063.0,6.0,1.55967431916112
163,36020,43.94442902841092,13.5,0.022838871759735,19685899,37121.18188729152,138.13150000000005,675614.0,20.7496,2685366.0,11.0,0.6996124667318189
164,36030,41.94594983906049,35.0,0.0654664484451718,15719001,51487.71529640909,176.2723999999999,681038.0,17.366799999999998,2123487.0,7.0,1.281348630756471
165,36040,55.90601109423027,3.4,0.0876424189307625,451661,2341.439991561669,11.303400000000002,11747.0,0.001,16768.0,1.0,1.1084258939838223
166,36060,48.95368440379871,7.8,0.0290570971959901,5116604,15579.792064504005,50.33980000000001,276371.0,8.730400000000001,298528.0,10.0,1.404648589793123
167,36310,72.9900536515427,6.9,0.0,85621,858.73864344108,9.6309,0.0,0.0,509.0,1.0,0.4466247543968946
168,36320,80.73114791713651,5.4,0.3597122302158274,158089,321577.8804572426,0.4437,2771.0,0.0077,25.0,20.0,0.5572555512271133
169,36330,70.17305776201266,22.2,0.0,137771,2509.9548473677564,0.0,0.0,0.0,3.0,59.0,0.5618693266942805
170,36350,89.73831208858611,42.1,0.0,394870,5215.375090335849,0.1184,1816.0,0.1513,319.0,80.0,0.7090235367833945
171,36360,66.23887503799375,78.7,1.6172506738544474,699256,12331.33113254312,59.663699999999935,218467.0,7.097499999999995,55420.0,17.0,0.5887798140507545
172,36370,81.9000120015564,15.4,0.4815409309791332,363546,4671.899056619317,0.0542,0.0,0.0,58813.0,1.0,0.5937043152228128
173,36380,91.0306140548446,0.4,0.0,49611,881.03903959531,0.0,0.0,0.0,0.0,22.0,0.6804993717630474
174,36390,96.63658258530802,4.7,0.0,65696,1005.6575514570972,0.0,0.0,0.0,0.0,0.0,1.1317424761718238
175,36400,103.46791118474724,6.1,0.0,217989,3528.096686845145,0.0098,2142.0,0.0078,0.0,0.0,0.581830802167659
176,36410,81.45725716334873,3.2,0.0,465107,5441.174403348818,6.999900000000002,34998.0,0.3659,597.0,14.0,1.1547705031433746
177,36420,70.20382740602832,20.6,0.3211991434689507,1696863,8474.167197492254,13.4542,64614.0,0.8448999999999997,71864.0,11.0,0.9719530570931882
178,36430,77.4730689386929,0.1,0.1430615164520743,504588,6465.44082878264,0.0,0.0,0.0,0.0,1.0,0.6013692183578344
179,36440,84.74236540953353,0.2,0.0,261196,2395.179937970785,0.0,0.0,0.0,0.0,0.0,0.9527201732855016
180,36450,61.80066999242852,2.7,0.1484780994803266,13796,168.09243823775316,11.576,1042.0,0.004,56.0,1.0,0.5580246873456228
181,36460,110.75055372947767,0.5,0.0,866,7.36882614101795,5.7566000000000015,69796.0,1.7028000000000003,0.0,11.0,0.46229365116064
182,36470,105.90286322770328,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306693112761647
183,36480,115.57581763564228,182.9,0.0,168126,2898.9436169522737,1.8235,21679.0,0.2013,2850.0,43.0,0.0656296697264493
184,37010,49.91966659222277,7.1,0.0110047320347749,19855712,45537.014104858965,100.51819999999996,459069.0,15.128899999999998,2799047.0,13.0,1.3111520394015272
185,37020,58.64162149769291,19.5,0.1081470800288392,11149193,59687.99931638321,145.6432,444239.0,11.999499999999989,989968.0,12.0,1.1645212095975603
186,37030,57.54264353100664,30.5,0.091533180778032,3981882,29246.99061472983,168.2409,473873.0,15.033299999999995,450492.0,7.0,0.7117648052620908
187,37040,71.87105846398376,42.7,0.0520020800832033,6297980,62688.24019196741,220.7730000000004,630551.0,19.494399999999995,727854.0,9.0,0.7034275222872403
188,37050,47.0010571908872,12.4,0.0168463611859838,12296516,18663.742750384663,133.44540000000003,354660.0,15.383700000000005,1745132.0,8.0,1.0515405974770298
189,37060,65.08026564038387,29.7,0.1452432824981844,1522769,10184.873108618756,47.73670000000006,181442.0,2.4721999999999995,121137.0,6.0,0.7301917001217463
190,37070,64.17441837560345,16.5,0.1529831718510964,4412912,40478.99551515065,1.7628,0.0,0.0,3458.0,22.0,0.9928621572731192
191,37080,77.92299214541573,24.9,0.315955766192733,467790,6253.497739905988,22.0761,108620.0,1.2514,12046.0,14.0,0.8093382191178089
