방문 지역,예측 소비액,시나리오 예측 소비액,소비액 차이
37360,54653.703,60703.258,6049.555
37370,68690.3,75502.59,6812.289999999994
37380,80380.51,87261.375,6880.865000000005
37390,86079.734,80265.68,-5814.054000000004
37400,66482.34,68324.484,1842.1440000000002
37410,73875.69,70574.49,-3301.199999999997
37420,169567.75,169634.39,66.64000000001397
37430,564703.94,560632.75,-4071.189999999944
38030,116186.445,118667.11,2480.6649999999936
38050,205857.31,212242.92,6385.610000000015
38060,170598.72,167309.72,-3289.0
38070,162201.55,154040.86,-8160.690000000002
38080,114546.91,113996.89,-550.0200000000041
38090,199950.22,194941.69,-5008.529999999999
38100,105938.9,106226.42,287.5200000000041
38110,125979.35,125186.5,-792.8500000000058
38310,91164.0,81888.46,-9275.539999999994
38320,81147.27,79915.09,-1232.1800000000076
38330,93590.19,95661.734,2071.5439999999944
38340,214661.25,221801.08,7139.829999999987
38350,200482.56,207391.75,6909.190000000002
38360,192755.64,194477.66,1722.0199999999895
38370,98522.72,98907.39,384.66999999999825
38380,108514.81,109181.875,667.0650000000023
38390,101079.66,100538.67,-540.9900000000052
38400,81778.97,79520.22,-2258.75
39010,595610.1,577720.2,-17889.900000000023
39020,596248.4,574078.3,-22170.099999999977
합계,33674837.776,33745905.598000005,71067.82200000013
