방문 지역,지출 비용,철도비,도로비,식음료비,음식점비,쇼핑비,여행 일수,숙박비,교통비,여행 활동비,자가용 의존도,교통인프라지수
21060,309892.85714285716,571.4285714285714,6142.857142857143,4500.0,32500.0,0.0,0.25,0.0,56000.0,4500.0,0.8,0.2372805097018639
21070,274011.85714285716,9714.285714285714,3928.5714285714284,27214.285714285714,115571.35714285714,22142.85714285714,1.3571428571428572,70714.21428571429,64000.0,9642.857142857143,0.6,0.0156416193355425
21080,405000.0,0.0,40000.0,0.0,245000.0,0.0,1.5,0.0,120000.0,40000.0,0.0,0.1816601025573058
21090,232381.43005181348,16440.41450777202,6098.445595854922,21820.247191011236,107792.13483146067,5393.258426966292,0.949438202247191,67275.2808988764,64766.79792746114,13882.022471910112,0.6099585062240664,0.1436034291515465
21100,304704.54545454547,15090.90909090909,11818.181818181818,36100.0,110800.0,38500.0,0.9,44000.0,85090.90909090909,35300.0,0.3846153846153846,0.3384657521959706
21110,47680.0,480.0,3600.0,7500.0,27500.0,0.0,0.5,0.0,12880.0,0.0,0.3333333333333333,0.1909022845600757
21120,810000.0,0.0,0.0,,,,,,125000.0,,1.0,-0.1831695087426327
21130,77000.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.091929532433531
21140,226405.74545454545,18545.454545454544,3563.6363636363635,16807.73076923077,106923.09615384616,8173.076923076923,0.9038461538461539,66730.76923076923,61490.8,7884.615384615385,0.5507246376811594,-0.1489040643423775
21150,166666.66666666666,0.0,0.0,15000.0,0.0,0.0,1.0,0.0,6666.666666666667,0.0,0.75,0.3931807179052298
21310,232116.66666666666,2888.8888888888887,11777.777777777777,23410.25641025641,102538.46153846153,18948.71794871795,0.7692307692307693,51794.8717948718,53266.666666666664,19025.641025641027,0.6818181818181818,-0.2934796420026827
22010,204215.9090909091,2151.5151515151515,5943.181818181818,11576.271186440677,39322.03389830508,99864.40677966102,0.15254237288135594,4406.779661016949,32412.878787878788,8000.0,0.6375,0.0304960905654458
22020,139464.57142857142,3928.5714285714284,4821.428571428572,5185.185185185185,34074.07407407407,59814.81481481482,0.2962962962962963,12592.888888888889,31000.0,2296.296296296296,0.7631578947368421,0.1951616634520033
22040,72800.0,5000.0,2800.0,2000.0,36000.0,6000.0,0.2,8000.0,20400.0,400.0,0.6,-0.1088585010190879
22050,146892.85714285713,0.0,1000.0,1857.142857142857,42285.71428571428,66428.57142857143,0.0,0.0,26142.85714285714,24285.714285714286,0.8,0.012238151411627
22060,89545.45454545454,0.0,3636.3636363636365,12380.952380952382,26428.571428571428,29285.714285714286,0.6190476190476191,1428.5714285714287,38181.818181818184,2142.8571428571427,0.95,0.0748953242658574
22070,129800.0,2666.6666666666665,2750.0,5714.285714285715,26785.714285714286,4142.857142857143,0.21428571428571427,0.0,25416.666666666668,27928.571428571428,0.7058823529411765,0.1897247876760582
22310,107285.71428571429,0.0,0.0,5714.285714285715,59428.57142857143,0.0,0.14285714285714285,8571.42857142857,33571.42857142857,0.0,1.0,-0.2831619510728924
23010,88935.17777777778,1777.7777777777778,911.1111111111111,12743.589743589744,61243.51282051282,3410.25641025641,0.23076923076923078,9230.71794871795,27244.48888888889,4820.51282051282,0.7931034482758621,-0.0251774287142664
23030,50000.0,11000.0,0.0,15000.0,24000.0,0.0,0.0,0.0,11000.0,0.0,0.0,
23040,165388.86666666667,6933.333333333333,1666.6666666666667,23923.23076923077,124269.23076923077,769.2307692307693,0.38461538461538464,55384.61538461538,59599.73333333333,5153.846153846154,0.8888888888888888,0.1976127036752862
23050,73263.91666666667,0.0,0.0,20599.9,41250.2,0.0,0.1,0.0,16750.0,3000.0,1.0,0.2787231108166244
23060,190166.66666666666,1333.3333333333333,5000.0,8000.0,125400.0,34000.0,0.8,20000.0,20666.666666666668,12000.0,0.375,0.896899605965719
23080,63750.0,250.0,1250.0,7000.0,35800.0,4000.0,0.0,0.0,15125.0,0.0,0.6363636363636364,0.5949502716165652
23310,111811.34722222222,0.0,69.44444444444444,10842.857142857143,84985.75714285714,1342.857142857143,0.3,24285.67142857143,38402.75,1857.142857142857,0.9294117647058824,-0.466619673469441
23320,135437.5,0.0,0.0,42750.0,125750.0,0.0,0.25,37500.0,81750.0,0.0,1.0,-0.4819928349432344
24010,116879.16,3600.0,500.0,5031.25,50647.916666666664,12500.0,0.2916666666666667,27041.666666666668,59737.98,6187.5,0.9047619047619048,-0.1924034886932391
24020,169054.16666666666,0.0,4166.666666666667,7400.0,46080.0,8000.0,0.5,49000.0,46583.333333333336,32600.0,0.8571428571428571,-0.1769125259385341
24030,162250.0,0.0,0.0,1166.6666666666667,145333.33333333334,0.0,0.6666666666666666,33333.333333333336,66750.0,4000.0,0.8571428571428571,-0.3334161226678021
24040,181029.16666666666,17000.0,4166.666666666667,22083.333333333332,40358.333333333336,416.6666666666667,0.75,37500.0,43583.333333333336,12083.333333333334,0.8,-0.0052265685931747
24050,276516.6666666667,0.0,0.0,14750.0,53000.0,10000.0,1.0,50000.0,192333.33333333334,15000.0,0.75,-0.219119335233882
25010,117663.66666666667,0.0,666.6666666666666,16138.666666666666,36466.666666666664,7000.0,0.4666666666666667,39333.333333333336,24133.333333333332,666.6666666666666,0.7647058823529411,0.1625514483579749
25020,173273.35,2000.0,20500.0,6684.210526315789,68500.05263157895,9210.526315789473,0.5263157894736842,35789.47368421053,48500.0,10947.368421052632,0.5833333333333334,0.0060060473295821
25030,192244.62962962964,0.0,22518.51851851852,45580.0,113025.0,20307.69230769231,0.46153846153846156,90384.57692307692,94629.66666666667,6038.461538461538,0.7391304347826086,0.3701280491951797
25040,181169.43181818182,2954.5454545454545,1022.7272727272727,23002.18918918919,82918.8918918919,45945.94594594595,0.5135135135135135,47567.56756756757,67977.27272727272,7000.0,0.7321428571428571,0.2403830544256639
25050,97272.72727272728,0.0,0.0,9100.0,45600.0,0.0,0.1,7000.0,23000.0,15000.0,0.8461538461538461,-0.1795258001989134
26010,206160.3076923077,0.0,2307.6923076923076,26909.090909090908,120090.90909090909,8181.818181818182,0.6363636363636364,48181.818181818184,73076.92307692308,3727.2727272727275,0.8421052631578947,-0.2161303876672456
26020,101096.875,1562.5,2187.5,27666.666666666668,99933.33333333333,2200.0,0.4666666666666667,42666.666666666664,44312.5,3866.6666666666665,0.6666666666666666,-0.0465072317557089
26030,177771.42857142858,0.0,2428.5714285714284,32142.85714285714,85642.85714285714,2857.1428571428573,0.6428571428571429,35714.28571428572,58928.57142857143,2142.8571428571427,0.7647058823529411,-0.3649183586404503
26040,98333.33333333333,0.0,0.0,30000.0,73333.33333333333,0.0,0.3333333333333333,16666.666666666668,26666.666666666668,5000.0,0.6,-0.2739167022601567
26310,166209.75862068965,1034.4827586206898,2413.793103448276,30628.19230769231,95000.03846153847,576.9230769230769,0.8076923076923077,33076.92307692308,39655.1724137931,769.2307692307693,0.7142857142857143,-0.2845835847180173
29010,87256.09756097561,60.97560975609756,14634.146341463415,20410.46153846154,64064.282051282054,1230.7692307692307,0.10256410256410256,21794.897435897437,40597.39024390244,15653.846153846154,0.4571428571428571,
31010,114119.71830985915,4084.507042253521,4676.056338028169,9203.125,64625.0,4156.25,0.390625,12812.5,42183.09859154929,3453.125,0.625,2.163644458628108
31020,48738.09523809524,2071.4285714285716,964.2857142857143,1238.095238095238,32285.714285714286,0.0,0.047619047619047616,0.0,13726.190476190477,0.0,0.6296296296296297,3.429257435569583
31030,126562.5,14750.0,10312.5,8000.0,86700.0,6500.0,0.2,30000.0,39750.0,45500.0,0.36,0.2012029734177191
31040,164428.57142857142,1285.7142857142858,6571.428571428572,666.6666666666666,58000.0,51666.666666666664,0.6666666666666666,0.0,66428.57142857143,1166.6666666666667,0.125,1.9488478574255503
31050,54333.333333333336,1611.111111111111,3055.5555555555557,1888.888888888889,17222.222222222223,7222.222222222223,0.3333333333333333,0.0,11888.888888888889,3888.8888888888887,0.25,2.1736242667235555
31060,150000.0,0.0,0.0,50000.0,480000.0,0.0,0.0,250000.0,350000.0,170000.0,0.0,0.4689509252510561
31070,94017.92857142857,1750.0,214.28571428571428,10300.0,41465.1,24000.0,0.5,0.0,52893.0,14200.0,0.5882352941176471,0.2331321958335868
31080,51500.0,1000.0,0.0,1428.5714285714287,16142.857142857143,8571.42857142857,0.0,0.0,15000.0,285.7142857142857,0.6666666666666666,-0.3581326496542251
31090,56312.5,625.0,1000.0,2333.3333333333335,35666.666666666664,0.0,0.08333333333333333,0.0,16625.0,0.0,0.72,0.6220483945692524
31100,151618.42105263157,526.3157894736842,952.6315789473684,17863.157894736843,71026.31578947368,16578.947368421053,0.2631578947368421,25789.473684210527,43794.73684210526,4618.421052631579,0.6944444444444444,1.5773069320226298
31110,132030.76923076922,184.6153846153846,1076.923076923077,16307.76923076923,56923.07692307692,5769.2307692307695,0.15384615384615385,15384.615384615385,39723.153846153844,18307.69230769231,0.4375,-0.0276686495040613
31120,55000.0,0.0,2500.0,14500.0,17500.0,0.0,0.0,0.0,12500.0,500.0,0.375,-0.0158763142575499
31130,141944.44444444444,666.6666666666666,277.77777777777777,15555.555555555555,67055.61111111111,2222.222222222222,0.3333333333333333,44444.444444444445,24277.777777777777,20277.777777777777,0.8260869565217391,0.600414392492393
31140,65240.0,1600.0,840.0,3200.0,25000.0,7600.0,0.2,0.0,9440.0,0.0,0.4,-0.0433887483804327
31150,116153.84615384616,1076.923076923077,0.0,9090.90909090909,49909.09090909091,0.0,0.36363636363636365,31818.18181818182,35307.692307692305,909.0909090909091,0.6111111111111112,0.2509066069756802
31160,63333.333333333336,3333.3333333333335,0.0,6666.666666666667,133333.33333333334,23333.333333333332,0.0,53333.333333333336,293333.3333333333,40000.0,1.0,0.5546709598720447
31170,73555.55555555556,0.0,0.0,2222.222222222222,50222.22222222222,0.0,0.0,0.0,19555.555555555555,1111.111111111111,1.0,-0.0955929984999258
31180,122272.72727272728,0.0,0.0,1818.1818181818182,38181.818181818184,28181.81818181818,0.36363636363636365,0.0,9545.454545454546,1818.1818181818182,0.9090909090909092,-0.1950901174211099
31190,159443.0975609756,585.3658536585366,2268.2926829268295,10135.162162162162,62513.54054054054,270.27027027027026,0.2702702702702703,23243.243243243243,36756.07317073171,59324.32432432433,0.6792452830188679,0.9428803680100428
31200,128872.8813559322,305.08474576271186,305.08474576271186,7462.962962962963,72564.81481481482,30240.74074074074,0.09259259259259259,11851.851851851852,35050.84745762712,4157.407407407408,0.868421052631579,0.0892252082960331
31210,180466.66666666666,0.0,0.0,3666.6666666666665,42066.666666666664,53333.333333333336,0.06666666666666667,3333.3333333333335,29600.0,44800.0,0.875,-0.3319458035926608
31220,132200.0,266.6666666666667,0.0,7142.857142857143,43642.857142857145,42857.142857142855,0.0,0.0,29666.666666666668,1785.7142857142858,0.95,-0.3567335145005122
31230,82861.125,1441.6666666666667,3516.6666666666665,8045.454545454545,39772.72727272727,11136.363636363636,0.09090909090909091,2727.2727272727275,33083.333333333336,227.27272727272728,0.7931034482758621,0.0132883263458851
31240,101218.49315068492,95.89041095890411,1301.3698630136987,12275.36231884058,60855.07246376811,1688.4057971014493,0.11594202898550725,5217.391304347826,34690.41095890411,4536.231884057971,0.8823529411764706,0.4533601620910786
31250,121833.33333333333,0.0,666.6666666666666,6327.586206896552,63362.06896551724,0.0,0.3103448275862069,12758.620689655172,26566.666666666668,22482.758620689656,0.8181818181818182,0.0334389048732359
31260,129361.11111111111,0.0,555.5555555555555,7733.333333333333,52233.333333333336,1333.3333333333333,0.4,40000.0,32777.833333333336,10133.333333333334,0.8260869565217391,0.0868647689609029
31270,100532.14285714286,71.42857142857143,428.57142857142856,17179.10447761194,59798.432835820895,3358.208955223881,0.2835820895522388,17701.492537313432,28108.64285714286,5783.582089552238,0.9012345679012346,-0.2598280947555727
31280,207635.8148148148,777.7777777777778,1703.7037037037037,5540.0,46600.0,68360.0,0.2,10400.0,32444.48148148148,35640.0,0.8620689655172413,-0.4361234222276095
31350,109068.64705882352,0.0,588.2352941176471,18529.41176470588,45588.23529411765,1176.4705882352941,0.23529411764705882,10000.0,21176.470588235294,0.0,0.85,-0.4364880974949786
31370,152191.50273224045,322.40437158469945,1836.0655737704917,24085.6408839779,71721.00552486187,2127.07182320442,0.3701657458563536,35248.57458563536,40660.03825136612,18022.10497237569,0.8921568627450981,-0.47945706346952
31380,82102.93137254902,196.07843137254903,166.66666666666666,7245.098039215686,42558.813725490196,1225.4901960784314,0.13725490196078433,7696.068627450981,25235.28431372549,3980.392156862745,0.9306930693069309,-0.4960141734917961
32010,110091.32692307692,644.2307692307693,1653.8461538461538,19831.57894736842,59199.98947368421,5810.526315789473,0.22105263157894736,11263.157894736842,36927.86538461538,13999.98947368421,0.784,-0.2460426439584315
32020,143166.6984126984,0.0,2841.2698412698414,18018.21818181818,69509.09090909091,4272.727272727273,0.34545454545454546,46000.01818181818,36063.53968253968,21290.909090909092,0.7721518987341772,-0.3122466908097691
32030,264063.1081081081,5519.519519519519,6228.2282282282285,43977.815699658706,141977.80887372015,10935.153583617748,0.9556313993174061,77901.02730375426,69973.5975975976,15092.143344709897,0.7548543689320388,-0.2886422467377839
32040,225097.22222222222,555.5555555555555,1574.0740740740741,54348.83720930233,124674.41860465116,15093.023255813954,0.9069767441860465,79069.76744186046,64888.92592592593,9488.372093023256,0.8589743589743589,-0.3958618548514753
32050,197026.31578947368,1052.6315789473683,342.10526315789474,27666.666666666668,89944.44444444444,7222.222222222223,0.7222222222222222,75555.66666666667,65236.73684210526,16666.666666666668,0.88,-0.4414076559212901
32060,260123.6803652968,1383.5616438356165,3351.5981735159817,37565.71212121212,129646.48484848485,9303.030303030304,1.005050505050505,75964.64646464646,63203.17351598173,11308.080808080807,0.8517241379310345,-0.3393070488905
32070,202158.203125,2187.5,546.875,42359.375,88999.765625,2109.375,0.8125,115546.875,47098.671875,7093.75,0.8285714285714286,-0.3715441350511795
32310,156534.1463414634,0.0,487.8048780487805,16750.0,45700.0,2750.0,0.7,44500.0,34609.756097560974,7075.0,0.8888888888888888,-0.4567356579894758
32320,96805.55555555556,0.0,1111.111111111111,3125.0,51250.0,2500.0,0.25,10000.0,31666.666666666668,0.0,0.8333333333333334,-0.4593326463329636
32330,145675.42105263157,0.0,1052.6315789473683,11323.529411764706,66470.58823529411,0.0,0.7647058823529411,52058.82352941176,44315.73684210526,15294.117647058823,0.8928571428571429,-0.4605162289160717
32340,207708.30555555556,3055.5555555555557,3611.1111111111113,29457.14285714286,76200.0,3428.5714285714284,0.8571428571428571,53285.68571428571,44666.63888888889,23971.4,0.825,-0.4371803679521569
32350,205000.0,468.75,1031.25,14903.225806451614,84935.48387096774,10161.290322580646,0.5483870967741935,45483.87096774193,60312.5,29032.25806451613,0.8285714285714286,-0.4466114952192145
32360,85015.625,93.75,937.5,20357.14285714286,79107.14285714286,1178.5714285714287,0.2857142857142857,26785.714285714286,31781.25,10750.0,0.4210526315789473,-0.4127377137423611
32370,260000.0,0.0,0.0,70000.0,90000.0,15000.0,2.0,50000.0,25000.0,0.0,0.75,-0.4887671377542987
32380,232666.66666666666,0.0,0.0,10000.0,100000.0,0.0,1.3333333333333333,46000.0,76666.66666666667,0.0,1.0,-0.4484032917625827
32390,182299.36363636365,0.0,3636.3636363636365,68368.52631578948,86789.47368421052,5263.1578947368425,0.47368421052631576,74210.52631578948,69954.81818181818,6315.789473684211,0.6785714285714286,-0.4333571076855217
32400,160101.47826086957,0.0,0.0,20619.04761904762,90428.47619047618,5238.0952380952385,0.5238095238095238,38571.42857142857,49739.30434782609,8571.52380952381,0.9666666666666668,-0.4015238615379055
32410,274312.1477272727,659.0909090909091,2863.6363636363635,40500.01136363636,147795.64772727274,10625.0,0.9318181818181818,116465.93181818182,66988.73863636363,24284.079545454544,0.8878504672897196,-0.4407110999869422
