시군구코드,교통인프라지수_norm
37320,-0.5015925577198997
37370,-0.5017282082469802
38390,-0.5037197028145204
37400,-0.5037782153836572
34070,-0.5046458460999634
37350,-0.5047291282873396
37310,-0.5077053731757575
35320,-0.5106282075048464
35380,-0.5111382364079252
34340,-0.5132674103942122
37390,-0.5157343680787118
36350,-0.5182801072539672
38080,-0.5193853025045826
37380,-0.5212553745921412
37330,-0.5228004303315443
35370,-0.523459564233398
33330,-0.5234606105121931
38370,-0.5266726743128758
38380,-0.5270811505720565
35060,-0.5291598508853524
34350,-0.5316389011249114
35350,-0.5321879103281016
36330,-0.5340585111899583
36310,-0.5349683057687554
38330,-0.5394509078460479
38340,-0.5426007095661676
38400,-0.5478804465204796
38360,-0.5526106224595355
37430,-0.553946692663702
36450,-0.5544491139676542
38310,-0.5570026863563159
38320,-0.55910800536854
37410,-0.5607917975770992
36460,-0.5643035905481487
35330,-0.5710052983512912
38090,-0.5727471368734125
35360,-0.5729936357473204
35340,-0.5781933494771061
38350,-0.5832681234604777
36480,-0.5869014679015796
33340,-0.6160624667180764
37340,-0.6172469649149586
36470,-0.6180025814420529
